,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target,Target
Description,Average daily transaction (in crore BDT),Cash In transaction,Cash Out Transaction,Description,Government Payment,Inward Remittance,Merchant Payment,No. of Approved Banks,No. of Banks Launched the Services,No. of Banks currently providing the Services,No. of Banks in the Services,No. of active accounts in Lac*,No. of agents,No. of daily average transaction,No. of registered clients in Lac,No. of total transaction,Others,P2P transaction,Product wise information,Salary Disbursement (B2P),Total transaction in taka(in crore BDT),Utility Bill Payment (P2B)
Date,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,558.18,6969.25,6128.01,,-,3.72,-,28,,,18,136.33,569656,3961080,331.38,118832401,509.07,2862.69,Amount (in crore BDT),157.79,16745.27,114.73
2016-02-01,552.3,6935.23,6041.35,"Amount in February, 2016",-,3.82,-,29,,,18,140.02,576996,3873607,339.8,116208212,528.36,2749.68,Amount (in crore BDT),168.58,16568.89,141.87
2016-03-01,608.05,7733.29,7050.78,"Amount in March, 2016",-,4.77,-,29,,,18,142.43,584912,4044492,348.85,121334768,299.74,2812.88,Amount (in crore BDT),157.35,18241.51,182.7
2016-04-01,606.98,7751.63,7020.4,"Amount in April, 2016",-,4.29,-,29,,,19,137.33,577588,3987516,356.33,119625484,312.54,2762.68,Amount (in crore BDT),153.18,18209.48,204.75
2016-05-01,616.05,7870.82,7182.71,"Amount in May, 2016",-,4.37,-,29,,,19,128.48,592432,4002586,354.9,120077594,319.89,2772.26,Amount (in crore BDT),150.01,18481.56,181.49
2016-06-01,771.71,10142.97,8866.26,"Amount in June, 2016",-,7.09,-,24,,,18,133.26,604418,4151013,362.04,124530380,366.73,3096.57,Amount (in crore BDT),437.43,23151.24,228.37
2016-07-01,587.99,7288.42,6986.47,"Amount in July, 2016",-,5.91,-,20,,,18,134.44,613151,3984430,365.79,119532904,363.87,2700.17,Amount (in crore BDT),120.24,17639.63,174.54
2016-08-01,678.11,8778.35,7845.35,"Amount in August, 2016",-,8.81,-,20,,,18,136.44,633294,4120858,373.09,123625738,356.7,2925.21,Amount (in crore BDT),178.73,20343.22,250.06
2016-09-01,649.05,8282.65,7545.14,"Amount in September, 2016",-,8.36,-,,20,18,,135.98,641110,3922751,379.77,117682537,368.81,2850.07,Amount (in crore BDT),190.88,19471.41,225.49
2016-10-01,689.75,8950.8,7953.72,"Amount in October, 2016",-,7.5,-,,19,17,,138.11,671337,4283221,389.49,128496638,368.24,3026.18,Amount (in crore BDT),183.47,20692.43,202.52
2016-11-01,731.11,9298.89,8555.92,"Amount in November, 2016",-,7.95,-,,19,17,,151.61,694629,4318943,396.2,129567789,351.8,3197.73,Amount (in crore BDT),322.51,21933.48,198.69
2016-12-01,773.79,10016.44,9046.33,"Amount in December, 2016",-,8.12,-,,19,17,,158.74,710026,4457582,410.78,133727455,358.39,3368.21,Amount (in crore BDT),234.85,23213.67,181.34
